Priority,Handle,Niche,Followers,30d trend,Engagement,Archetype / angle,Stage,Next action,Reply,Notes
HIGH,@primeprenur,business/entrepreneur,117K,+19.5K,check likes,1 - growing healthy · accelerate + reels lever,Replied,Send teardown (2 Aug),Yes,REPLIED to my DM · strong consistent growth ~650/day · green-branded news carousels are winners · reels = the growth lever · FIRST WARM LEAD
HIGH,@onlinentrepreneurs,business/entrepreneurship,345K,-412,0.15%,6 - plateaued despite heavy output (verified),New,DM1,,Verified · 147 posts/30d · best lead - committed but stalled - strategy layer
HIGH,@theelevateunity,anime/motivation,162K,-1.1K,1.76%,7 - great content weak distribution,New,DM1,,Best engagement of batch · elite anime edits · compliment craft NEVER critique · qualify hand-off
HIGH,@explaining.tech,tech/science,360K,+659,0.43%,1 - growing but format-limited (verified),New,DM1,,Verified · GROWING · 25 avg comments · reels lever not aesthetics
HIGH,@powerofdiscipline_,discipline/motivation/nutrition,555K,+36K,0.32%,1 - growing but inconsistent content,New,DM1,,Growing well · grid all over the place · engagement 3x lower than multi · teardown ready
HIGH,@theartificialintelligens,AI,124K,+974,0.4%,1 - growing + healthy - accelerate,New,DM1,,HIDDEN GEM: 492 likes on 124K = alive & growing · hot niche · angle = pour fuel on a working engine not fix a broken one · contrast w aitherevolution (679K dead)
MEDIUM,@howtobeentrepreneur,business/entrepreneur,600K,-3.7K,0.04%,2 - dormant asset (verified),New,DM1,,Not posting since March · big asset decaying · easy pickup pitch
MEDIUM,@eliteswealthh,life/money/motivation,589K,-3.4K,0.14%,2 - dormant / inconsistent,New,DM1,,Only 4 posts/30d · big asset bleeding · same-niche as multi
LOW,@entrepreneurs_lives,business/entrepreneurship,281K,-1.2K,0.01%,4 - ghost audience (posts but ~19 likes),New,Skip / qualify,,DOWNGRADED from MEDIUM: 0.01% eng / 19 likes on 281K is dead-audience territory · posting 18/30d gets no return · content isnt the lever
MEDIUM,@thedeepconnections,relatable/emotional,571K,-3.3K,0.23%,6 - format fatigue / turnaround,New,DM1,,7453 posts · committed but declining · turnaround job not quick win
LOW,@intrepreneurs,business/entrepreneur,315K,-1.3K,0.04%,2+4 - dormant + ghost audience,New,DM1,,0 posts/30d + 112 likes · rebuild not restart · manage expectations
LOW,@bizziology,business,258K,declining,0.04%,4 - ghost / dead audience,New,Qualify first,,20-30 likes on 258K · likely bought/dead · lowest priority - qualify before pitching
LOW,@techadvicepage,tech/AI/business,128K,-169,0.01%,4 - ghost audience (verified trap),New,Skip / qualify,,15 likes on 128K despite 98 posts/30d · verified but dead audience · content is NOT the lever - dont be seduced by the badge
LOW,@aitherevolution,AI,679K,-3.4K,0.03%,4 - ghost / dead audience,New,Skip,,190 likes on 679K · big number empty room · AI pages often inflated - skip
LOW,@mindwired.ai,AI/technology,172K,-151,0.04%,4 - ghost / dead audience,New,Skip,,61 likes on 172K despite 143 posts/30d · max effort zero return · dead - skip
